OTU,ALancangBesar,BPari,CTidung,DKarangBeras,EPramuka,FKotok,GSepa
1,ASV1,1,1,1,1,1,1,1
2,ASV16,1,1,1,1,1,1,1
3,ASV23,1,1,1,1,1,1,1
4,ASV42,1,1,1,1,1,1,1
5,ASV61,1,1,1,1,1,1,1
6,ASV62,1,1,1,1,1,1,1
7,ASV71,1,1,1,1,1,1,1
8,ASV72,1,1,1,1,1,1,1
9,ASV87,1,1,1,1,1,1,1
10,ASV92,1,1,1,1,1,1,1
11,ASV108,1,1,1,1,1,1,1
12,ASV111,1,1,1,1,1,1,1
13,ASV117,1,1,1,1,1,1,1
14,ASV120,1,1,1,1,1,1,1
15,ASV121,1,1,1,1,1,1,1
16,ASV135,1,1,1,1,1,1,1
17,ASV155,1,1,1,1,1,1,1
18,ASV156,1,1,1,1,1,1,1
19,ASV168,1,1,1,1,1,1,1
20,ASV175,1,1,1,1,1,1,1
21,ASV182,1,1,1,1,1,1,1
22,ASV184,1,1,1,1,1,1,1
23,ASV189,1,1,1,1,1,1,1
24,ASV201,1,1,1,1,1,1,1
25,ASV209,1,1,1,1,1,1,1
26,ASV213,1,1,1,1,1,1,1
27,ASV219,1,1,1,1,1,1,1
28,ASV225,1,1,1,1,1,1,1
29,ASV226,1,1,1,1,1,1,1
30,ASV228,1,1,1,1,1,1,1
31,ASV253,1,1,1,1,1,1,1
32,ASV254,1,1,1,1,1,1,1
33,ASV255,1,1,1,1,1,1,1
34,ASV258,1,1,1,1,1,1,1
35,ASV277,1,1,1,1,1,1,1
36,ASV290,1,1,1,1,1,1,1
37,ASV294,1,1,1,1,1,1,1
38,ASV295,1,1,1,1,1,1,1
39,ASV304,1,1,1,1,1,1,1
40,ASV306,1,1,1,1,1,1,1
41,ASV315,1,1,1,1,1,1,1
42,ASV319,1,1,1,1,1,1,1
43,ASV323,1,1,1,1,1,1,1
44,ASV324,1,1,1,1,1,1,1
45,ASV339,1,1,1,1,1,1,1
46,ASV359,1,1,1,1,1,1,1
47,ASV361,1,1,1,1,1,1,1
48,ASV365,1,1,1,1,1,1,1
49,ASV366,1,1,1,1,1,1,1
