OTU,ALancangBesar,BPari,CTidung,DKarangBeras,EPramuka,FKotok,GSepa,Rowsums
ASV213,2976,4894,7671,6566,9714,7361,7976,47158
ASV1471,3317,3532,6829,11670,7247,7389,4108,44092
ASV1466,268,1432,4754,3878,6032,4742,18633,39739
ASV853,990,5165,10163,5788,4165,5320,2713,34304
ASV586,1158,2201,3813,3292,4208,3116,4127,21915
ASV5295,266,440,14192,1761,2633,2552,70,21914
ASV2284,2273,3259,1820,3027,2471,4270,2213,19333
ASV1944,658,2671,1043,2839,4293,3627,3641,18772
ASV23,2917,1570,522,1042,2300,3297,1790,13438
ASV2242,40,923,517,6020,3084,543,1386,12513
ASV5446,615,1257,1020,1844,1749,1921,2928,11334
ASV1659,501,1333,740,1462,2022,1974,2101,10133
ASV10173,47,286,1886,1752,1116,4288,614,9989
ASV1222,543,1130,2115,1556,1752,1310,1514,9920
ASV2953,458,534,334,4154,2933,570,919,9902
ASV3846,342,1495,442,1009,1815,2354,2204,9661
ASV499,676,917,439,2017,3387,991,1175,9602
ASV3106,326,1583,642,987,1324,2759,1963,9584
ASV2273,411,953,1133,2176,2187,1096,1316,9272
ASV964,297,1138,1826,1312,1099,1846,1688,9206
ASV9404,115,460,2456,1395,1052,2740,876,9094
ASV2058,354,774,1347,1597,1788,1056,1911,8827
ASV4752,1642,623,255,352,1530,1853,2543,8798
ASV1320,14,65,6101,23,103,2259,180,8745
ASV10352,0,5098,1433,1206,789,0,35,8561
ASV2134,994,464,466,760,1668,3093,1014,8459
ASV182,103,552,857,1517,1040,3578,701,8348
ASV614,277,1064,475,1042,1649,1428,2041,7976
ASV908,591,1215,527,844,1245,2084,1469,7975
ASV761,132,2045,21,1623,1585,1774,682,7862
ASV5938,41,1260,1481,1425,333,1741,1494,7775
ASV3142,439,1299,579,708,1963,1202,1522,7712
ASV1179,956,495,2682,734,592,853,1377,7689
ASV1309,791,758,430,974,1512,1653,1550,7668
ASV3441,742,666,1255,1484,1414,888,1043,7492
ASV852,385,1680,418,1156,1182,1558,1076,7455
ASV6306,237,921,426,917,1764,1886,1163,7314
ASV117,273,348,1659,762,786,869,2257,6954
ASV2697,331,792,401,707,1816,969,1755,6771
ASV1911,234,591,1241,936,1167,1088,1442,6699
ASV1436,547,760,1072,1046,1170,1019,1034,6648
ASV2858,320,533,1148,1155,1117,1004,1214,6491
ASV6630,652,346,539,457,335,2595,1505,6429
ASV4189,215,284,1378,886,749,2356,514,6382
ASV4556,481,576,439,585,1128,1391,1752,6352
ASV1126,30,41,1271,2280,799,1853,58,6332
ASV4430,80,207,954,2458,1803,228,594,6324
ASV10909,243,967,1673,517,1069,1029,768,6266
ASV2243,260,1025,386,783,719,1673,1352,6198
ASV9892,66,79,4490,587,387,572,8,6189
ASV465,595,484,966,1005,804,1358,935,6147
ASV8775,78,132,2087,2001,744,619,448,6109
ASV7804,12,582,966,2907,867,220,535,6089
ASV464,208,1116,400,856,803,1673,1012,6068
ASV426,345,1073,432,679,959,1336,1115,5939
ASV1411,243,771,370,996,980,1136,1356,5852
ASV1263,210,107,835,501,2648,284,1250,5835
ASV3031,1876,269,54,796,484,2002,310,5791
ASV11921,336,435,171,3566,938,145,149,5740
ASV780,289,586,384,713,1268,933,1472,5645
ASV1057,336,834,219,917,1193,1014,1061,5574
ASV9195,257,607,1046,887,762,825,875,5259
ASV656,297,564,818,906,1027,654,959,5225
