OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species,LancangBesar,Pari,Tidung,KarangBeras,Pramuka,Kotok,Sepa,Total
ASV213,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,Unavailable,2976,4894,7671,6566,9714,7361,6720,45902
ASV1471,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Coraliomargarita,uncultured Verrucomicrobia bacterium,3317,3532,6829,11670,7247,7389,2508,42492
ASV1466,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Unavailable,268,1432,4754,3878,6032,4742,18633,39739
ASV853,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,uncultured Desulfohalobiaceae bacterium,uncultured Desulfohalobiaceae bacterium,uncultured Desulfohalobiaceae bacterium,990,5165,10163,5788,4165,5320,2275,33866
ASV5295,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured delta proteobacterium,266,440,14192,1761,2633,2552,60,21904
ASV586,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured,uncultured gamma proteobacterium,1158,2201,3813,3292,4208,3116,3927,21715
ASV2284,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,hydrothermal vent metagenome,hydrothermal vent metagenome,hydrothermal vent metagenome,2273,3259,1820,3027,2471,4270,1872,18992
ASV1944,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Unavailable,Unavailable,658,2671,1043,2839,4293,3627,2560,17691
ASV23,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Unavailable,2917,1570,522,1042,2300,3297,1561,13209
ASV2242,Bacteria,Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,40,923,517,6020,3084,543,1379,12506
ASV5446,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,615,1257,1020,1844,1749,1921,2332,10738
ASV10173,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured soil bacterium,47,286,1886,1752,1116,4288,550,9925
ASV2953,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Coleofasciculaceae,Coleofasciculus PCC-7420,Unavailable,458,534,334,4154,2933,570,919,9902
ASV1222,Bacteria,Gemmatimonadetes,BD2-11 terrestrial group,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,543,1130,2115,1556,1752,1310,1456,9862
ASV1659,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1 clade,Unavailable,Unavailable,501,1333,740,1462,2022,1974,1801,9833
ASV499,Bacteria,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,676,917,439,2017,3387,991,1090,9517
ASV3106,Bacteria,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,uncultured organism,uncultured organism,uncultured organism,326,1583,642,987,1324,2759,1564,9185
ASV2273,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Unavailable,Unavailable,Unavailable,411,953,1133,2176,2187,1096,1226,9182
ASV964,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,297,1138,1826,1312,1099,1846,1589,9107
ASV9404,Bacteria,Acidobacteria,Subgroup 21,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,115,460,2456,1395,1052,2740,832,9050
ASV2058,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,uncultured bacterium gp10,354,774,1347,1597,1788,1056,1902,8818
ASV3846,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,uncultured bacterium,342,1495,442,1009,1815,2354,1345,8802
ASV1320,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,uncultured bacterium,uncultured bacterium,uncultured bacterium,14,65,6101,23,103,2259,180,8745
ASV10352,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,uncultured,uncultured bacterium,0,5098,1433,1206,789,0,35,8561
ASV4752,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Flammeovirgaceae,Flexithrix,Flexithrix dorotheae DSM 6795,1642,623,255,352,1530,1853,2281,8536
ASV182,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,uncultured bacterium,103,552,857,1517,1040,3578,551,8198
ASV2134,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,FS142-36B-02,uncultured gamma proteobacterium,994,464,466,760,1668,3093,622,8067
ASV5938,Bacteria,Latescibacteria,uncultured organism,uncultured organism,uncultured organism,uncultured organism,uncultured organism,41,1260,1481,1425,333,1741,1488,7769
ASV908,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured Flexibacteraceae bacterium,591,1215,527,844,1245,2084,1183,7689
ASV1179,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Flammeovirgaceae,Rapidithrix,uncultured Sphingobacteriales bacterium,956,495,2682,734,592,853,1377,7689
ASV3441,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured bacterium,742,666,1255,1484,1414,888,1013,7462
ASV761,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria Incertae Sedis,Unknown Family,uncultured,uncultured alpha proteobacterium,132,2045,21,1623,1585,1774,229,7409
ASV3142,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium,439,1299,579,708,1963,1202,1193,7383
ASV1309,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Unavailable,791,758,430,974,1512,1653,1192,7310
ASV852,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured,uncultured bacterium,385,1680,418,1156,1182,1558,752,7131
ASV614,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Unavailable,Unavailable,277,1064,475,1042,1649,1428,1188,7123
ASV6306,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,uncultured organism,237,921,426,917,1764,1886,844,6995
ASV1911,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Sphingomonadaceae bacterium MOLA 46,234,591,1241,936,1167,1088,1350,6607
ASV1436,Bacteria,Latescibacteria,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,547,760,1072,1046,1170,1019,989,6603
ASV2858,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Paraspirulinaceae,Spirulina P7,Unavailable,320,533,1148,1155,1117,1004,1162,6439
ASV117,Bacteria,Gemmatimonadetes,BD2-11 terrestrial group,uncultured delta proteobacterium,uncultured delta proteobacterium,uncultured delta proteobacterium,uncultured delta proteobacterium,273,348,1659,762,786,869,1736,6433
ASV6630,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,Unavailable,Unavailable,Unavailable,652,346,539,457,335,2595,1505,6429
ASV4189,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Pleurocapsa PCC-7319,Unavailable,215,284,1378,886,749,2356,510,6378
ASV1126,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,uncultured bacterium,uncultured bacterium,uncultured bacterium,30,41,1271,2280,799,1853,58,6332
